PK_PRODUTO
         804
         831
         832
         834
         850
         855
         860
        2419
        3991
       11367
       12247
       12712
       14309
       14381
       14989
       15028
       16329
         799
         801
         802
         803
         806
         807
         815
         826
         829
        1747
        1756
        1912
        1986
        2113
        2157
        2411
        2592
        5888
        8999
       10207
       11578
       11579
       11592
       11602
       11695
       13249
       13269
       13394
       13403
       13409
       13518
       13521
       13546
       13628
       13629
       13635
       13648
       14205
       14241
       14501
       14525
       14559
       15558
       16347
       16450
